uuid,date,title,vote
uuid,date,title,vote
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,22.05.2015,"Tarifeinheitsgesetz","enthalten"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,27.03.2015,"Nachhaltige und zukunftsweisende Liegenschaftspolitik","NEIN"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,27.03.2015,"PKW-Maut","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,26.03.2015,"Kooperative Holzvermarktung","NEIN"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,27.02.2015,"Finanzhilfen für Griechenland","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,26.02.2015,"Verlängerung des Bundeswehreinsatzes in Mali (EUTM Mali)","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,29.01.2015,"Ausbildungsunterstützungseinsatz Kurdistan-Irak","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,29.01.2015,"Bundeswehreinsatz zur Luftüberwachung in der Türkei","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,19.12.2014,"Bundeswehreinsatz in Afghanistan","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,18.12.2014,"Bundesdatenschutzgesetz","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,18.12.2014,"Fortsetzung des Bundeswehreinsatzes im Mittelmeer (ACTIVE ENDEAVOUR)","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,28.11.2014,"Bundeshaushaltsplan 2015","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,13.11.2014,"BAföG-Reform","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,13.11.2014,"Fortsetzung des Bundeswehreinsatzes im Südsudan","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,13.11.2014,"Lockerung des Kooperationsverbotes bei Hochschulfinanzierung","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,13.11.2014,"Verlängerung des Bundeswehreinsatzes in Darfur (UNAMID)","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,16.10.2014,"Klage gegen EU-Beschluss zu staatlichen AKW-Beihilfen","NEIN"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,25.09.2014,"Ablehnung von Schiedsgerichten bei TTIP und CETA","NEIN"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,03.07.2014,"Abschaffung der sachgrundlosen Befristung","NEIN"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,03.07.2014,"Änderung des Staatsangehörigkeitsgesetzes","JA"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,03.07.2014,"Angleichung der Renten in Ostdeutschland an Westniveau","NEIN"
0077079d-5136-4c5a-96c0-ef8ee76ccfe3,03.07.2014,"Flächendeckender Mindestlohn von 8,50 Euro","JA"
