edited,name,uuid,gender,first_name,last_name,party,parliament,education,questions_get,answers_give,url_profile
2015-05-30 01:08,ulrike-ulli-nissen,0077079d-5136-4c5a-96c0-ef8ee76ccfe3,female,Ulrike (Ulli),Nissen,SPD,Bundestag,Bankkauffrau,0,0,https://www.abgeordnetenwatch.de/profile/ulrike-ulli-nissen
2015-05-30 01:08,ursula-groden-kranich,014490fc-3403-4255-b92d-175816269937,female,Ursula,Groden-Kranich,CDU,Bundestag,Bankkauffrau,0,0,https://www.abgeordnetenwatch.de/profile/ursula-groden-kranich
2015-05-15 01:08,max-straubinger,02da6707-6255-4c8b-8e80-818c2d732943,male,Max,Straubinger,CSU,Bundestag,"Versicherungsfachmann, Selbständiger Generalvertreter, Landwirtschaftsmeister",0,0,https://www.abgeordnetenwatch.de/profile/max-straubinger
2015-05-20 01:08,michael-gros,037071c0-4cd0-4cf4-949d-4f46f38a378b,male,Michael,Groß,SPD,Bundestag,Geschäftsbereichsleiter,0,0,https://www.abgeordnetenwatch.de/profile/michael-gros
2015-05-30 01:08,frank-heinrich,03a6c443-39f3-4cc4-8e47-bcae81104712,male,Frank,Heinrich,CDU,Bundestag,"Sozialpädagoge, Theologe",0,0,https://www.abgeordnetenwatch.de/profile/frank-heinrich
2015-05-21 01:08,florian-post,040d4a72-e4dd-42eb-b6cc-cf6ab1a2fe3d,male,Florian,Post,SPD,Bundestag,Diplom-Kaufmann,0,0,https://www.abgeordnetenwatch.de/profile/florian-post
2015-05-22 01:09,philipp-graf-von-und-zu-lerchenfeld,04243d07-fb08-4ae1-ae8c-8ab18920f623,male,Philipp Graf von und zu,Lerchenfeld,CSU,Bundestag,"Landwirt, Wirtschaftsprüfer, Steuerberater",0,0,https://www.abgeordnetenwatch.de/profile/philipp-graf-von-und-zu-lerchenfeld
2015-05-17 01:08,burkhard-blienert,0471f04c-b565-49cf-8f6e-3f9438907b62,male,Burkhard,Blienert,SPD,Bundestag,"Studium der Politik, Neueren Geschichte und Soziologie (M.A.)",0,0,https://www.abgeordnetenwatch.de/profile/burkhard-blienert
2015-05-12 00:00,klaus-dieter-grohler,04b9aad2-cf6c-4411-a27f-9fda675c5d3d,male,Klaus-Dieter,Gröhler,CDU,Bundestag,Jurist,0,0,https://www.abgeordnetenwatch.de/profile/klaus-dieter-grohler
2015-05-12 09:00,inge-hoger,04c458b6-9d8e-4729-b960-e0b54d4fc599,female,Inge,Höger,DIE LINKE,Bundestag,Diplom-Betriebswirtin (FH),0,0,https://www.abgeordnetenwatch.de/profile/inge-hoger
2015-05-12 02:00,beate-muller-gemmeke,04eda6d0-0c3c-4d41-b453-6aefba1f5f40,female,Beate,Müller-Gemmeke,DIE GRÜNEN,Bundestag,Diplom-Sozialpädagogin,0,0,https://www.abgeordnetenwatch.de/profile/beate-muller-gemmeke
2015-05-14 01:09,heike-baehrens,05b7d463-dd58-4b55-a7c2-31c718c249c4,female,Heike,Baehrens,SPD,Bundestag,"Bankkauffrau, Diplom-Religionspädagogin",0,0,https://www.abgeordnetenwatch.de/profile/heike-baehrens
2015-05-12 00:00,ulla-jelpke,05d6cf89-1c30-4928-a182-be101d20de1d,female,Ulla,Jelpke,DIE LINKE,Bundestag,"Journalistin, Diplom-Soziologin, Volkswirtin",0,0,https://www.abgeordnetenwatch.de/profile/ulla-jelpke
2015-05-22 01:08,erwin-ruddel,06639eae-5a69-4d5d-98c3-0d51ac529ed2,male,Erwin,Rüddel,CDU,Bundestag,Diplom-Betriebswirt,0,0,https://www.abgeordnetenwatch.de/profile/erwin-ruddel
2015-05-12 00:00,herbert-behrens,06e73c0f-cdc4-409a-b6b2-ed56d35a173f,male,Herbert,Behrens,DIE LINKE,Bundestag,Gewerkschaftssekretär,0,0,https://www.abgeordnetenwatch.de/profile/herbert-behrens
2015-05-22 01:08,andreas-schwarz,0755acc2-cc78-48ee-9351-3c6dbbc7e4c2,male,Andreas,Schwarz,SPD,Bundestag,Diplom-Betriebswirt,0,0,https://www.abgeordnetenwatch.de/profile/andreas-schwarz
2015-05-12 02:00,alois-rainer,07871a7d-f3f6-4d7a-aa67-771677d7d137,male,Alois,Rainer,CSU,Bundestag,Metzgermeister,0,0,https://www.abgeordnetenwatch.de/profile/alois-rainer
